# Path metadata
# path_type,square
# speed,2.0
# num_drones,5
# square_size,10.0
# circle_radius,5.0
# figure8_size,8.0
# End metadata
timestamp,drone_id,x,y,z,waypoint_idx
0.0,-1,5.0,-5.0,-5.0,0
0.0,-1,5.0,0.0,-5.0,1
0.0,-1,5.0,5.0,-5.0,2
0.0,-1,0.0,5.0,-5.0,3
0.0,-1,-5.0,5.0,-5.0,4
0.0,-1,-5.0,0.0,-5.0,5
0.0,-1,-5.0,-5.0,-5.0,6
0.0,-1,0.0,-5.0,-5.0,7
0.0,-1,5.0,-5.0,-5.0,8
1764666304.332174,0,4.905154228210449,-4.691900253295898,-4.368929862976074,1
1764666304.332174,1,4.871355175971985,-7.667618751525879,-4.365554332733154,1
1764666304.332174,2,7.877986907958984,-4.626992225646973,-4.370439052581787,1
1764666304.332174,3,4.877147674560547,-1.700568675994873,-4.3677754402160645,1
1764666304.332174,4,1.8700189590454102,-4.700668692588806,-4.356762409210205,1
1764666304.3414552,0,4.90518045425415,-4.691704750061035,-4.369007587432861,1
1764666304.3414552,1,4.8718308210372925,-7.668347358703613,-4.365458011627197,1
1764666304.3414552,2,7.878159046173096,-4.627189517021179,-4.370610237121582,1
1764666304.3414552,3,4.877204895019531,-1.700648307800293,-4.368022918701172,1
1764666304.3414552,4,1.8699841499328613,-4.700814723968506,-4.357078552246094,1
1764666304.3515637,0,4.90518045425415,-4.691704750061035,-4.369007587432861,1
1764666304.3515637,1,4.8718308210372925,-7.668347358703613,-4.365458011627197,1
1764666304.3515637,2,7.878328800201416,-4.627388596534729,-4.370776176452637,1
1764666304.3515637,3,4.877326488494873,-1.7008380889892578,-4.368533611297607,1
1764666304.3515637,4,1.8699498176574707,-4.700957536697388,-4.357388973236084,1
1764666304.361553,0,4.905242443084717,-4.691376209259033,-4.369137763977051,1
1764666304.361553,1,4.8721489906311035,-7.668816566467285,-4.3653717041015625,1
1764666304.361553,2,7.878496170043945,-4.627589583396912,-4.370937347412109,1
1764666304.361553,3,4.8773908615112305,-1.7009482383728027,-4.368796348571777,1
1764666304.361553,4,1.86991548538208,-4.701097011566162,-4.357692718505859,1
1764666304.3715289,0,4.905242443084717,-4.691376209259033,-4.369137763977051,1
1764666304.3715289,1,4.8721489906311035,-7.668816566467285,-4.3653717041015625,1
1764666304.3715289,2,7.878841876983643,-4.628012299537659,-4.371270179748535,1
1764666304.3715289,3,4.877456188201904,-1.701059341430664,-4.369052410125732,1
1764666304.3715289,4,1.8698663711547852,-4.701396942138672,-4.358298301696777,1
1764666304.381612,0,4.905290126800537,-4.691154956817627,-4.369567394256592,1
1764666304.381612,1,4.872626423835754,-7.669496536254883,-4.365246772766113,1
1764666304.381612,2,7.8790106773376465,-4.628225803375244,-4.371426582336426,1
1764666304.381612,3,4.877523422241211,-1.7011713981628418,-4.369300842285156,1
1764666304.381612,4,1.8698430061340332,-4.701542139053345,-4.358592987060547,1
1764666304.3915436,0,4.905290126800537,-4.691154956817627,-4.369567394256592,1
1764666304.3915436,1,4.872626423835754,-7.669496536254883,-4.365246772766113,1
1764666304.3915436,2,7.879178047180176,-4.628440499305725,-4.371578216552734,1
1764666304.3915436,3,4.877592086791992,-1.7013087272644043,-4.3695573806762695,1
1764666304.3915436,4,1.8698201179504395,-4.701684236526489,-4.35888147354126,1
1764666304.4015188,0,4.905383110046387,-4.690897464752197,-4.370705604553223,1
1764666304.4015188,1,4.872982501983643,-7.669910430908203,-4.3651509284973145,1
1764666304.4015188,2,7.87935209274292,-4.628670930862427,-4.371728420257568,1
1764666304.4015188,3,4.877662181854248,-1.701446533203125,-4.369806289672852,1
1764666304.4015188,4,1.8698039054870605,-4.701831698417664,-4.359166622161865,1
1764666304.4114997,0,4.905429840087891,-4.690754413604736,-4.371584892272949,1
1764666304.4114997,1,4.872982501983643,-7.669910430908203,-4.3651509284973145,1
1764666304.4114997,2,7.879693031311035,-4.6291351318359375,-4.372015476226807,1
1764666304.4114997,3,4.877806186676025,-1.7017221450805664,-4.370283603668213,1
1764666304.4114997,4,1.8697881698608398,-4.70197606086731,-4.359446048736572,1
1764666304.4214606,0,4.90552282333374,-4.690401554107666,-4.374088764190674,1
1764666304.4214606,1,4.8733179569244385,-7.670310974121094,-4.365065574645996,1
1764666304.4214606,2,7.879859924316406,-4.629369378089905,-4.372152328491211,1
1764666304.4214606,3,4.877880573272705,-1.701859474182129,-4.370512008666992,1
1764666304.4214606,4,1.869758129119873,-4.702255725860596,-4.360000133514404,1
1764666304.4315403,0,4.90552282333374,-4.690401554107666,-4.374088764190674,1
1764666304.4315403,1,4.873500943183899,-7.67049503326416,-4.3650221824646,1
1764666304.4315403,2,7.880033493041992,-4.629632949829102,-4.372293472290039,1
1764666304.4315403,3,4.878046035766602,-1.7021656036376953,-4.370972156524658,1
1764666304.4315403,4,1.8697495460510254,-4.702394008636475,-4.36027193069458,1
1764666304.4415882,0,4.905691623687744,-4.689854145050049,-4.377589225769043,1
1764666304.4415882,1,4.873851180076599,-7.670853614807129,-4.364943981170654,1
1764666304.4415882,2,7.880204677581787,-4.629896879196167,-4.372420310974121,1
1764666304.4415882,3,4.8781304359436035,-1.7023186683654785,-4.371192455291748,1
1764666304.4415882,4,1.8697419166564941,-4.702528953552246,-4.360538959503174,1
1764666304.4515328,0,4.905776023864746,-4.689504146575928,-4.37970495223999,1
1764666304.4515328,1,4.873851180076599,-7.670853614807129,-4.364943981170654,1
1764666304.4515328,2,7.880540370941162,-4.630425810813904,-4.372662544250488,1
1764666304.4515328,3,4.878215789794922,-1.7024717330932617,-4.371402263641357,1
1764666304.4515328,4,1.869734764099121,-4.702660441398621,-4.360800266265869,1
1764666304.461534,0,4.905980587005615,-4.6885905265808105,-4.384792327880859,1
1764666304.461534,1,4.874018669128418,-7.671029090881348,-4.364908695220947,1
1764666304.461534,2,7.880710601806641,-4.630728006362915,-4.37277889251709,1
1764666304.461534,3,4.878302097320557,-1.7026257514953613,-4.371604919433594,1
1764666304.461534,4,1.8697271347045898,-4.702929496765137,-4.3613080978393555,1
1764666304.4715126,0,4.905980587005615,-4.6885905265808105,-4.384792327880859,1
1764666304.4715126,1,4.874382019042969,-7.671368598937988,-4.364816188812256,1
1764666304.4715126,2,7.880878448486328,-4.631029725074768,-4.372891426086426,1
1764666304.4715126,3,4.878477096557617,-1.7029337882995605,-4.371994495391846,1
1764666304.4715126,4,1.8697266578674316,-4.703066349029541,-4.361556053161621,1
1764666304.4815593,0,4.906219959259033,-4.687355995178223,-4.390842914581299,1
1764666304.4815593,1,4.874554991722107,-7.671533584594727,-4.364760875701904,1
1764666304.4815593,2,7.8812079429626465,-4.631632208824158,-4.37310791015625,1
1764666304.4815593,3,4.878565788269043,-1.703087329864502,-4.372183799743652,1
1764666304.4815593,4,1.8697266578674316,-4.703199863433838,-4.3618035316467285,1
1764666304.4915051,0,4.906339645385742,-4.686606407165527,-4.394183158874512,1
1764666304.4915051,1,4.874722361564636,-7.671695709228516,-4.364709854125977,1
1764666304.4915051,2,7.881385326385498,-4.631974458694458,-4.373212814331055,1
1764666304.4915051,3,4.878650188446045,-1.7032432556152344,-4.372365474700928,1
1764666304.4915051,4,1.869737148284912,-4.703471899032593,-4.362277507781982,1
1764666304.5016432,0,4.906646251678467,-4.6847333908081055,-4.401939868927002,1
1764666304.5016432,1,4.87504518032074,-7.672004699707031,-4.3646063804626465,1
1764666304.5016432,2,7.881560802459717,-4.632315754890442,-4.373316764831543,1
1764666304.5016432,3,4.878735542297363,-1.7033991813659668,-4.372544765472412,1
1764666304.5016432,4,1.8697471618652344,-4.703610301017761,-4.36250638961792,1
1764666304.5115201,0,4.906646251678467,-4.6847333908081055,-4.401939868927002,1
1764666304.5115201,1,4.875198483467102,-7.672154426574707,-4.364564418792725,1
1764666304.5115201,2,7.881734371185303,-4.63265597820282,-4.373420715332031,1
1764666304.5115201,3,4.878820896148682,-1.703554630279541,-4.372718334197998,1
1764666304.5115201,4,1.869758129119873,-4.703745126724243,-4.362734317779541,1
1764666304.5215418,0,4.9069504737854,-4.682376861572266,-4.4106526374816895,1
1764666304.5215418,1,4.875346541404724,-7.672301292419434,-4.364530086517334,1
1764666304.5215418,2,7.881905555725098,-4.632994890213013,-4.373525619506836,1
1764666304.5215418,3,4.878907203674316,-1.703709602355957,-4.372891902923584,1
1764666304.5215418,4,1.86976957321167,-4.703876495361328,-4.362962245941162,1
1764666304.5315602,0,4.907143592834473,-4.680944442749023,-4.415518283843994,1
1764666304.5315602,1,4.875495076179504,-7.672441482543945,-4.364490032196045,1
1764666304.5315602,2,7.882228851318359,-4.633760333061218,-4.373740196228027,1
1764666304.5315602,3,4.879085540771484,-1.7040152549743652,-4.373225212097168,1
1764666304.5315602,4,1.8697872161865234,-4.704185605049133,-4.363399505615234,1
1764666304.5415435,0,4.907336711883545,-4.679355144500732,-4.420646667480469,1
1764666304.5415435,1,4.875775933265686,-7.672711372375488,-4.364455699920654,1
1764666304.5415435,2,7.882387161254883,-4.634140253067017,-4.373852729797363,1
1764666304.5415435,3,4.879175662994385,-1.7041668891906738,-4.373394966125488,1
1764666304.5415435,4,1.8697967529296875,-4.70433497428894,-4.3636298179626465,1
1764666304.5515945,0,4.907527923583984,-4.677593231201172,-4.426053524017334,1
1764666304.5515945,1,4.875908136367798,-7.6728410720825195,-4.3644561767578125,1
1764666304.5515945,2,7.882543087005615,-4.634518504142761,-4.373970985412598,1
1764666304.5515945,3,4.879266738891602,-1.7043180465698242,-4.373569488525391,1
1764666304.5515945,4,1.8698067665100098,-4.704480886459351,-4.363865375518799,1
1764666304.5616596,0,4.907959461212158,-4.673419952392578,-4.437773704528809,1
1764666304.5616596,1,4.87603497505188,-7.672968864440918,-4.364469051361084,1
1764666304.5616596,2,7.882844924926758,-4.635310888290405,-4.374197483062744,1
1764666304.5616596,3,4.879363536834717,-1.7044596672058105,-4.373742580413818,1
1764666304.5616596,4,1.8698172569274902,-4.704623579978943,-4.364107131958008,1
1764666304.5715365,0,4.908198833465576,-4.670992374420166,-4.444034099578857,1
1764666304.5715365,1,4.876157760620117,-7.673101425170898,-4.364473819732666,1
1764666304.5715365,2,7.882990837097168,-4.635724306106567,-4.374317646026611,1
1764666304.5715365,3,4.87955904006958,-1.7047419548034668,-4.374107837677002,1
1764666304.5715365,4,1.8698115348815918,-4.704969763755798,-4.364555835723877,1
1764666304.581528,0,4.908438205718994,-4.668346405029297,-4.450536251068115,1
1764666304.581528,1,4.876275181770325,-7.673232078552246,-4.364494323730469,1
1764666304.581528,2,7.883134841918945,-4.63613498210907,-4.374449729919434,1
1764666304.581528,3,4.879656791687012,-1.7048821449279785,-4.374302387237549,1
1764666304.581528,4,1.8698101043701172,-4.7051368951797485,-4.364797115325928,1
1764666304.5915406,0,4.908677101135254,-4.665462970733643,-4.457296848297119,1
1764666304.5915406,1,4.876493811607361,-7.673482894897461,-4.364587306976318,1
1764666304.5915406,2,7.88327693939209,-4.636542916297913,-4.3745951652526855,1
1764666304.5915406,3,4.8798370361328125,-1.7051639556884766,-4.3747053146362305,1
1764666304.5915406,4,1.8698091506958008,-4.705299973487854,-4.365052223205566,1
1764666304.6015756,0,4.9092488288879395,-4.658625602722168,-4.471870422363281,1
1764666304.6015756,1,4.876596808433533,-7.673609733581543,-4.364643573760986,1
1764666304.6015756,2,7.88352108001709,-4.637417793273926,-4.374903678894043,1
1764666304.6015756,3,4.879928112030029,-1.7053041458129883,-4.3749308586120605,1
1764666304.6015756,4,1.8697900772094727,-4.705498576164246,-4.3653035163879395,1
1764666304.6115093,0,4.909534454345703,-4.654832363128662,-4.479399681091309,1
1764666304.6115093,1,4.876694321632385,-7.673732757568359,-4.364722728729248,1
1764666304.6115093,2,7.883640289306641,-4.637850284576416,-4.375083923339844,1
1764666304.6115093,3,4.8800201416015625,-1.7054433822631836,-4.375174045562744,1
1764666304.6115093,4,1.869771957397461,-4.705692887306213,-4.365571975708008,1
1764666304.6215184,0,4.909815311431885,-4.650752544403076,-4.487145900726318,1
1764666304.6215184,1,4.876872897148132,-7.673969268798828,-4.364954471588135,1
1764666304.6215184,2,7.883758068084717,-4.63827908039093,-4.3752851486206055,1
1764666304.6215184,3,4.880111217498779,-1.7055840492248535,-4.375432014465332,1
1764666304.6215184,4,1.869739055633545,-4.706068396568298,-4.36616849899292,1
1764666304.6315653,0,4.910154819488525,-4.6461334228515625,-4.4953484535217285,1
1764666304.6315653,1,4.876952290534973,-7.674078941345215,-4.365101337432861,1
1764666304.6315653,2,7.883851051330566,-4.638749003410339,-4.375509738922119,1
1764666304.6315653,3,4.880294322967529,-1.7058615684509277,-4.376014709472656,1
1764666304.6315653,4,1.8696913719177246,-4.706275582313538,-4.3664774894714355,1
1764666304.6415067,0,4.910835266113281,-4.635900974273682,-4.512460231781006,1
1764666304.6415067,1,4.877026796340942,-7.674184799194336,-4.365277290344238,1
1764666304.6415067,2,7.884033679962158,-4.639676451683044,-4.376030445098877,1
1764666304.6415067,3,4.8803863525390625,-1.7059979438781738,-4.376343727111816,1
1764666304.6415067,4,1.869645118713379,-4.706477880477905,-4.3668107986450195,1
1764666304.6515172,0,4.911178112030029,-4.6302385330200195,-4.521407127380371,1
1764666304.6515172,1,4.877096176147461,-7.674287796020508,-4.365484714508057,1
1764666304.6515172,2,7.884122848510742,-4.640133857727051,-4.376330375671387,1
1764666304.6515172,3,4.880464553833008,-1.706143856048584,-4.376700401306152,1
1764666304.6515172,4,1.8695578575134277,-4.706868648529053,-4.367544174194336,1
1764666304.661569,0,4.911575794219971,-4.6238837242126465,-4.5308380126953125,1
1764666304.661569,1,4.877206444740295,-7.67447566986084,-4.366019248962402,1
1764666304.661569,2,7.8842010498046875,-4.640630483627319,-4.376662731170654,1
1764666304.661569,3,4.8805437088012695,-1.7062888145446777,-4.3770856857299805,1
